Shape_Area,ADM2_ES,ADM2_PCODE,min_prec_2009_01,max_prec_2009_01,mean_prec_2009_01,std_prec_2009_01,min_prec_2009_02,max_prec_2009_02,mean_prec_2009_02,std_prec_2009_02,min_prec_2009_03,max_prec_2009_03,mean_prec_2009_03,std_prec_2009_03,min_prec_2009_04,max_prec_2009_04,mean_prec_2009_04,std_prec_2009_04,min_prec_2009_05,max_prec_2009_05,mean_prec_2009_05,std_prec_2009_05,min_prec_2009_06,max_prec_2009_06,mean_prec_2009_06,std_prec_2009_06,min_prec_2009_07,max_prec_2009_07,mean_prec_2009_07,std_prec_2009_07,min_prec_2009_08,max_prec_2009_08,mean_prec_2009_08,std_prec_2009_08,min_prec_2009_09,max_prec_2009_09,mean_prec_2009_09,std_prec_2009_09,min_prec_2009_10,max_prec_2009_10,mean_prec_2009_10,std_prec_2009_10,min_prec_2009_11,max_prec_2009_11,mean_prec_2009_11,std_prec_2009_11,min_prec_2009_12,max_prec_2009_12,mean_prec_2009_12,std_prec_2009_12,year
0.0253694762555,Abalá,MX31001,23.97,29.48,27.34,1.718,17.3,18.53,18.03,0.41,19.48,21.16,20.38,0.5146,20.3,27.83,25.14,2.012,66.25,78.1,72.5,3.244,107.44,119.2,113.7,3.947,115.7,123.75,120.44,2.766,131.9,147.6,137.9,4.727,140.0,152.5,144.6,4.094,64.9,73.25,68.5,2.883,53.16,59.12,56.22,1.825,29.44,34.7,31.62,1.634,2009
0.0676451084999,Abasolo,MX05001,5.38,9.016,6.63,0.7817,5.34,8.7,6.516,0.856,5.574,8.63,6.72,0.704,11.49,20.4,13.914,2.322,72.75,105.7,87.4,9.164,38.22,44.03,40.5,1.301,29.97,47.22,35.12,4.188,13.555,23.69,17.8,2.857,41.47,53.4,47.22,3.176,30.78,54.56,40.6,6.586,10.73,15.65,11.92,1.085,9.64,12.97,10.84,0.77,2009
0.0532914800764,Abasolo,MX11001,11.77,14.58,13.18,0.7197,2.07,3.482,2.799,0.4185,3.732,5.773,4.598,0.5854,4.668,8.86,7.2,1.211,19.92,48.5,34.4,7.4,122.5,149.4,135.5,7.375,92.25,118.44,103.1,6.48,93.06,114.5,105.25,5.8,201.2,289.8,240.1,23.3,29.23,51.56,41.84,5.73,4.53,9.016,6.44,1.165,6.535,11.99,8.36,1.5,2009
0.00422425987935,Abasolo,MX19001,11.47,11.6,11.53,0.06915,8.984,9.445,9.22,0.2302,10.016,11.54,10.77,0.76,30.34,30.98,30.66,0.3203,49.47,52.16,50.8,1.34,36.97,39.03,38.0,1.022,58.1,63.8,60.97,2.861,38.5,39.5,39.0,0.4956,104.75,108.0,106.4,1.621,51.53,57.0,54.28,2.732,21.2,21.69,21.44,0.2432,19.81,21.52,20.67,0.845,2009
0.165111640936,Abasolo,MX28001,13.44,19.88,16.44,1.453,7.72,22.33,13.18,2.309,1.673,13.125,6.652,2.252,18.12,32.8,25.16,3.518,55.53,92.8,78.0,9.664,62.1,101.8,82.3,8.69,4.992,12.266,5.91,1.288,30.33,51.53,38.72,4.293,124.1,178.2,153.6,15.54,90.2,145.0,117.4,13.34,23.16,41.5,29.7,4.945,16.22,25.12,20.14,2.037,2009
0.0107503090585,Abejones,MX20001,9.7,24.31,18.17,5.273,7.406,15.66,12.03,3.115,10.0,12.83,11.45,0.9185,30.62,73.75,53.75,15.33,88.2,135.8,110.94,15.84,171.0,244.9,211.8,29.44,111.25,215.6,168.4,39.3,111.7,208.0,162.2,35.0,261.8,518.5,396.5,94.4,127.2,163.8,146.6,12.234,17.34,55.03,40.8,13.31,19.05,38.8,29.86,6.89,2009
0.0208830723262,Acacoyagua,MX07001,7.062,34.9,22.3,10.35,1.445,4.293,3.102,1.226,22.22,38.8,32.2,5.59,52.75,71.94,63.06,6.176,326.8,427.5,368.0,28.83,376.0,402.8,394.0,7.965,290.0,321.5,302.2,10.61,393.0,449.5,419.5,17.03,372.8,476.0,447.0,29.62,233.0,330.0,295.0,27.55,107.4,118.4,111.8,3.982,1.971,8.63,4.84,1.884,2009
0.0151855909666,Acajete,MX21001,8.29,16.94,13.21,2.803,4.16,15.24,10.91,3.457,8.41,16.7,12.0,2.512,26.16,36.56,30.22,3.703,70.25,87.7,79.8,5.387,136.2,226.0,159.5,30.84,86.2,104.6,96.44,5.906,86.5,113.7,92.6,9.484,161.1,307.2,202.9,49.53,83.06,93.5,89.06,3.12,17.3,26.61,21.17,3.084,18.66,25.05,22.27,2.129,2009
0.00839329681875,Acajete,MX30001,28.56,34.72,31.81,2.225,29.44,36.94,33.22,2.88,14.09,21.58,17.02,2.914,48.06,63.0,54.72,5.35,86.06,107.25,95.5,7.793,156.0,202.5,181.2,16.7,151.5,187.9,171.5,14.516,183.2,243.4,215.2,21.36,560.5,628.5,594.0,31.61,165.9,215.5,191.1,17.6,89.25,108.75,99.6,7.57,85.44,99.75,92.94,6.41,2009
0.0407310631609,Acala,MX07002,4.902,9.41,6.99,1.286,2.352,9.82,6.645,2.287,7.22,15.64,9.266,2.03,38.53,55.94,47.53,4.824,158.4,188.1,175.5,9.836,233.9,302.2,255.8,20.42,123.4,223.4,155.0,22.1,118.06,222.4,151.0,26.23,199.9,248.4,216.5,11.16,55.44,74.44,60.75,5.36,11.06,21.39,14.73,2.672,2.57,18.75,11.26,5.242,2009
